Vorm,Conjugatie,Modus,Tempus,Genus,Persoon,Getal,Stam
o,3,indicativus,praesens,activum,eerste,singularis,praesens
is,3,indicativus,praesens,activum,tweede,singularis,praesens
it,3,indicativus,praesens,activum,derde,singularis,praesens
imus,3,indicativus,praesens,activum,eerste,pluralis,praesens
itis,3,indicativus,praesens,activum,tweede,pluralis,praesens
unt,3,indicativus,praesens,activum,derde,pluralis,praesens
ebam,3,indicativus,imperfectum,activum,eerste,singularis,praesens
ebas,3,indicativus,imperfectum,activum,tweede,singularis,praesens
ebat,3,indicativus,imperfectum,activum,derde,singularis,praesens
ebamus,3,indicativus,imperfectum,activum,eerste,pluralis,praesens
ebatis,3,indicativus,imperfectum,activum,tweede,pluralis,praesens
ebant,3,indicativus,imperfectum,activum,derde,pluralis,praesens
am,3,indicativus,futurum,activum,eerste,singularis,praesens
es,3,indicativus,futurum,activum,tweede,singularis,praesens
et,3,indicativus,futurum,activum,derde,singularis,praesens
emus,3,indicativus,futurum,activum,eerste,pluralis,praesens
etis,3,indicativus,futurum,activum,tweede,pluralis,praesens
ent,3,indicativus,futurum,activum,derde,pluralis,praesens
i,3,indicativus,perfectum,activum,eerste,singularis,perfectum
isti,3,indicativus,perfectum,activum,tweede,singularis,perfectum
it,3,indicativus,perfectum,activum,derde,singularis,perfectum
imus,3,indicativus,perfectum,activum,eerste,pluralis,perfectum
istis,3,indicativus,perfectum,activum,tweede,pluralis,perfectum
erunt,3,indicativus,perfectum,activum,derde,pluralis,perfectum
eram,3,indicativus,plusquamperfectum,activum,eerste,singularis,perfectum
eras,3,indicativus,plusquamperfectum,activum,tweede,singularis,perfectum
erat,3,indicativus,plusquamperfectum,activum,derde,singularis,perfectum
eramus,3,indicativus,plusquamperfectum,activum,eerste,pluralis,perfectum
eratis,3,indicativus,plusquamperfectum,activum,tweede,pluralis,perfectum
erant,3,indicativus,plusquamperfectum,activum,derde,pluralis,perfectum
ero,3,indicativus,futurum exactum,activum,eerste,singularis,perfectum
eris,3,indicativus,futurum exactum,activum,tweede,singularis,perfectum
erit,3,indicativus,futurum exactum,activum,derde,singularis,perfectum
erimus,3,indicativus,futurum exactum,activum,eerste,pluralis,perfectum
eritis,3,indicativus,futurum exactum,activum,tweede,pluralis,perfectum
erint,3,indicativus,futurum exactum,activum,derde,pluralis,perfectum
or,3,indicativus,praesens,passivum,eerste,singularis,praesens
eris,3,indicativus,praesens,passivum,tweede,singularis,praesens
itur,3,indicativus,praesens,passivum,derde,singularis,praesens
imur,3,indicativus,praesens,passivum,eerste,pluralis,praesens
imini,3,indicativus,praesens,passivum,tweede,pluralis,praesens
untur,3,indicativus,praesens,passivum,derde,pluralis,praesens
ebar,3,indicativus,imperfectum,passivum,eerste,singularis,praesens
ebaris,3,indicativus,imperfectum,passivum,tweede,singularis,praesens
ebatur,3,indicativus,imperfectum,passivum,derde,singularis,praesens
ebamur,3,indicativus,imperfectum,passivum,eerste,pluralis,praesens
ebamini,3,indicativus,imperfectum,passivum,tweede,pluralis,praesens
ebantur,3,indicativus,imperfectum,passivum,derde,pluralis,praesens
ar,3,indicativus,futurum,passivum,eerste,singularis,praesens
eris,3,indicativus,futurum,passivum,tweede,singularis,praesens
etur,3,indicativus,futurum,passivum,derde,singularis,praesens
emur,3,indicativus,futurum,passivum,eerste,pluralis,praesens
emini,3,indicativus,futurum,passivum,tweede,pluralis,praesens
entur,3,indicativus,futurum,passivum,derde,pluralis,praesens
us sum,3,indicativus,perfectum,passivum,eerste,singularis,supinum
us es,3,indicativus,perfectum,passivum,tweede,singularis,supinum
